uniq_id,product_name,manufacturer,price,number_available_in_stock
bb2466d62f3fdc9510272ee5233694d3,Walthers Trainline 931-1676 TL 50' PD Boxcar ATSF,Walthers Trainline,£15.00,2 NEW
9aa711b367533c012cb110d7ebca844b,Preiser 30411 Horse Drawn Box Wagon,Preiser,£137.16,0 NEW
4fe3fc492f715044ca59b0c4d5f53e72,"Series 225-5000 [Kansai Airport, Kishu-ji Rapid Service] (4-Car Set) (Model Train)",Kato,£163.88,5 NEW
3612a6c82b71b6f304ed36b7e48b1e38,Lightweight HyDroc,Woodland Scenics,£14.57,6 NEW
142f98f4a806c7c5d7bdfc3f2417e865,Hornby '00' Gauge R4526 RailRoad Night Mail Operating Mail - GWR Chocolate and Cream Coach,Hornby,£21.95,6 NEW
9c2578668630183035ebdaf8fcf3e84e,Hornby West Coast Highlander,Hornby,£49.99,4 NEW
bb1a0e743e6b9d6e94f1e46e1f6a0ea3,Ratio 476 LMS Round Post Signal Kits,Ratio,£10.69,2 NEW
e40700943d96d5c7e27a832274776116,Roco 64722 OBB Railjet Economy Coach V,Roco,£49.95,0 NEW
3838fe1a007c0907a56154b65f672414,N gauge 10-1221 E7 system Hokuriku Shinkansen basic set (3 cars),Kato,£70.50,19 NEW
1b630a8cf3a61521966e86ba1ef37ecf,BR Mk1 SLF Sleeper Car Maroon,RAILWAY - BACHMANN,£33.99,2 NEW
2e258ccf78b2caa2dbb558f466de3df4,Kato 23-233 Wooden Station & Buildings,Kato,£20.31,35 NEW
95ddb46815960a546e22a653fbb300e8,Peco ST-3 Setrack 1st Radius Standard Curve,Peco,£1.95,5 NEW
dc598f016a3664f70ca65a87022a18a6,Hornby R3060 RailRoad BR 'Tornado' Class A1 00 Gauge Steam Locomotive,Hornby,£79.95,7 NEW
eac1f8ec83ca5cc5fc0a6ddcb481b3f8,Hornby 00 Gauge 270mm BR Mk1 Corridor Composite BR Maroon Coach Model,Hornby,£19.95,3 NEW
6b9e4719e5fbd968730d3e25168c359b,Toy Train Set High Speed EMU Toy Train with Flashing Light & Music Kids Toys Gift,ARSUK,£5.70,2 NEW
bf1b59fe9ed3ee095ccf159c2c74e10d,Model Railway 'OO' / 'HO' Scale C88 Schools Class Kings Wimbledon Locomotive Plastic Kit,Dapol,£9.65,4 NEW
bed1c3d92b6b1343548ddc5a1001ee89,Hornby Gauge Eurostar 2014 Train Set,Hornby,£141.23,9 NEW
798c64c4eeb48bb985b94d45e5c5cfc0,Corgi 1:50 Fowler Showmans Valiant Pat Collins Amusements on Tour Steam Vehicle Model,Corgi,£83.04,7 NEW
5c3da61bff1a3bb9237bae149fc100b7,Power Trains Motorized Train Set Freight Military Engine,Power Trains,£21.95,3 NEW
95263d3e03936bf3a0bd175619b59cba,Fisher Price Thomas and Friends Take-n-play(TM) Talking James,Fisher Price,£16.50,2 NEW
ae98d9437b91e1550b50395042175ecf,Hornby 00 Gauge RailRoad GWR Restaurant Coach Model,Hornby,£18.99,6 NEW
aedf496c4f0594f1814f301db907ffad,Kato N Gauge Train Set Case (Kato PlaRail Model Train) [Toy],Kato,£11.04,39 NEW
03756123c54f2857ac841e94b9679189,20pcs Scale 1/200 Model Single Head Street Lights Lamppost,Generic,£4.99,0 NEW
7b11299d3c618cd5a9e943e0b643a7cf,Dapol 2P-000-101 Collett BR Maroon/Crimson 2nd Class W1117,Dapol,£22.50,0 NEW
de197cda5c870afd5ed2f85b587e6e79,Hornby 00 Gauge 270mm BR Mk1 Corridor Second BR Coach Model (Chocolate/ Cream),Hornby,£18.12,6 NEW
bdd43e34552ee5d84b793ccceb27b701,Hornby Gauge Flying Scotsman NRM 2015 Rededication Steam Locomotive,Hornby,£169.99,3 NEW
f82cb6573e01270552f1649a1f1f5f24,Hornby R1151 Caledonian Belle 00 Gauge Electric Train Set,Hornby,£63.99,18 NEW
0669d1acffbc127780e2038635b8167a,31-465 Bachmann OO - Class C Wainwright 0-6-0 31579 in BR black with late crest,Bachmann,£104.71,4 NEW
0130161d344e02254e17e2672279836c,Faller H0 140429 Fairground Ride Rainbow Millennium,Faller,£82.76,5 NEW
5e40c134ad6f7adda391088022187883,Power Trains Motorized Train Set Freight Industrial Engine,Power Trains,£22.95,2 NEW
536339e39e38d2f216d0555cf86ba007,Hornby R2987 Brighton Belle 1934 00 Gauge DCC Ready 2 Car Pack,Hornby,£166.04,0 NEW
3f37d1a60e07edd24c7db5c0915bcb98,Jouef HJ4058 SNCF Type 36 Baggage Coach IV,Jouef,£37.09,0 NEW
98c5c9a20051ccb66c275b87a5fb6925,Bachmann 31-137 Class D11/2 6399 Allan-Bane LNER Green,Bachmann,£124.93,0 NEW
c889882abe447fb6a14e36c916e62d9c,Bachmann 37-685 14 Ton Tank Wagon With Large Filler Mex Lamp Oils,Bachmann,£12.00,2 NEW
ed7399c6974d934b43e5bb17f24db355,TRIX T23471 H0 Express coach 1./3. class of K.BAY.STS. B 3. Class,Trix,£41.87,0 NEW
83632d8ef8a9fb29f75296b34b7ccd6a,LMS 60ft Porthole Corridor Composite BR,RAILWAY - BACHMANN,£28.98,3 NEW
8df980439240865028b8808ef7b14cb8,Preiser 30468 Horse Drawn Open Farm Cart,Preiser,£20.21,4 NEW
1150534cee9ef4fa07f22dd1c709866d,Plarail - S-24 Series 485 Limited Express Train (Model Train),Takara Tomy,£11.08,38 NEW
efcede0c71a5f78d36c6e0100f9c4fb3,Corgi 1:120 Scale Rail Legends 'Silver Link' A4 ClassDie Cast Stream Locomotive,Corgi,£32.70,4 NEW
26f0e95eea814ee55fdf0674142faebe,Hornby Gauge Sentinel Barabel Locomotive,Hornby,£51.53,4 NEW
3771983ef8f14ef1b7738c31a2c05856,Plan Toys Cargo Train,Plan Toys,£15.83,8 NEW
3b3a0ded5c6b62a881b665c4913c881d,Hornby 00 Gauge 510mm BR 2-BIL 2 Car Electric Multiple Unit Train Model,Hornby,£107.99,0 NEW
552130d7fc1de1e574df9ea50e527c02,Dapol Model Railway BR Mogul Class Locomotive Plastic Kit - OO Scale 1/76,Dapol,£11.95,4 NEW
3386e2030e8f3309ba97fc4acfba4814,Dapol 2D-020-002 London Midland Class 153 371,Dapol,£100.00,2 NEW
808861a3a7355a080e0e1ad3cd51ba3f,B Train Shorty DD51 Diesel Locomotive Renewal Car A(Blue) & B(Red) (2-Car Set) (Model Train),Bandai,£22.58,9 NEW
c42ec699f63ff3033df87ea3d7a97c9f,Dapol Model Railway Signal Gantry Plastic Kit - OO Scale 1/76,Dapol,£6.99,5 NEW
985f88a530e38d160ce675525c835546,Atlas 22050 Friction-Bearing Trucks (1 Pr),Atlas,£4.00,0 NEW
e27b34032fd39ada24f181fd96eaed13,Hornby R3119 LMS Duchess Of Abercorn - No Smoke Deflectors 00 Gauge Steam Locomotive,Hornby,£119.50,2 NEW
2759c69ce78c8e702713c3ae63cc9259,Plan Toys Fuel Train,Plan Toys,£14.20,6 NEW
d8ff946959a5d7cb6df65ae4fd15c016,10pcs Scale 1/500 3V Single-Head Model Street Lights Lamppost for Scenary Lighting,Generic,£5.99,2 NEW
b566ddaaa931ca661ad5238184a9270a,Corgi 1:120 Scale Rail Legends 'Sir Nigel Gresley' A4 Class 60007 Die Cast Stream Locomotive,Corgi,£64.87,3 NEW
7474cf8f2da17c55263b4b192f18d77b,"Rail King Intelligent Classical Train Track Set With Light ,Smoke & Train Sound Huge Size XMAS GIFT",NMIT,£29.99,0 NEW
c94992bd3a1075962c5c566187826ce5,BR Mk1 SLSTP Sleeper Car Maroon,RAILWAY - BACHMANN,£35.95,0 NEW
de3a9b8508d72623ded8cb07dc30331e,Hornby R1167 Flying Scotsman 00 Gauge Electric Train Set,Hornby,£108.99,17 NEW
6c0f920869922314c4c74c67549ecb13,Viessmann 5550 Universal Toggle Switches Panel (4 Switches),Viessmann,£16.25,5 NEW
28b34581c89b979a168cf435f1c305c4,J.R. Electric Locomotive Type EH500 (Third Edition) (Model Train),Tommy Tech,£96.95,10 NEW
9431d2d0575064a3d89bb2cd788cacc4,Hornby 00 Gauge 267mm 1st Class Post 1953 BR Hawksworth Coach Model,Hornby,£39.10,2 NEW
bc421302f860983f7e90f30c3ee9fffd,Model Power US Army Railway Gun Gauge H0,Model Power,£14.95,2 NEW
c1976e03a3a8f7acca6b75e0668a9ea7,Gaugemaster Twin Track Cased Controller,Gaugemaster,£94.88,2 NEW
2c75d86e52018a1e283ff53bb0fe8377,Micki Leksaker Train Set with Animals,Micki Leksaker,£20.16,9 NEW
60eb065991166e02c88c4929a413e25f,Lelin Wooden Train Track Railway Station Playset Childrens Kids Pretend Play,LELIN,£17.99,0 NEW
9c1780d4c600ed297f391cfd1414c715,Peco ST-235 Setrack 4th Radius Standard Curve,Peco,£4.86,4 NEW
074832fae76089a3e349ba1ec7d6aa6a,Hornby '00' Gauge R3274 RailRoad BR 2-10-0 Franco Crosti Boiler 9F Class Locomotive,Hornby,£119.99,2 NEW
afe95dccc9f8850cda65e77a9b36c3e5,Kato 23-226 Yard Buildings Kit,Kato,£12.31,34 NEW
59b20e9ba78b1603a09513020b3ef9d6,Hornby 00 Gauge National Mercantile Bank Model,Hornby,£39.99,0 NEW
e124ffa7345b54cf6cbc08530dfe8fbd,Camping Site,Busch,£8.50,4 NEW
b158c4841db6e585d7dc9c3bab93f41a,2-Car Set N gauge 10-1232 KUHA 103 ATC Yamanote Line car preparation (Japan import / The package and the manual are written in Japanese),Kato,£18.50,26 NEW
89c02a39fc9fee037db00a53b47c979d,102 Tonne glw IIA Bulk Coal Hopper Wagon GBRf (VTG,Bachmann N Gauge,£27.00,0 NEW
d3ba4664fc261e77e803633360fcf28e,Märklin 72730 Switchboard (72730),Märklin,£11.71,6 NEW
95534049f7431eea318a6018bc1eff3f,Hornby Railroad 00 Gauge Bagnall Diesel Shunter Locomotive,Hornby,£29.99,6 NEW
4089892979fb09caefa461a1ee9aefa8,Kato N Gauge 10-327 8 Coach Eurostar EMU,Kato,£538.73,0 NEW
8aa01bfb947d2aa80e65bc2dc34ec3da,Hornby 00 Gauge LNER 61ft/ 6-inch Sleeping Car Coach Model,Hornby,£41.67,3 NEW
99df8cec3877eec760dae0c96d040516,Commuter Train Series 103 (Blue) (3-Car Set) (Model Train),Kato,£78.49,12 NEW
1550633aff26ec6111b7d0363acbbb69,Hornby 00 Gauge 270mm BR Mk1 Corridor Second BR Coach Model (Maroon),Hornby,£19.95,3 NEW
095c5e1c864779b974f6cb6041a024f6,Bigjigs Rail Rail Name Engine,Bigjigs Rail,£2.49,3 NEW
3d6c7462ce4369a888159efabc4b71ff,Hornby - Straight Track,Hornby,£3.03,19 NEW
ea733ea0101190b55e5b7be149ec79e9,Mehano - Coffret TGV duplex 3.5 m,Trains,£79.95,4 NEW
7e3d3e5507001ae8bab11bb270bed56b,Commuter Train Series 103 (Orange) (3-Car Set) (Model Train),Kato,£21.66,30 NEW
159b1371be56ec94a1568647669416b3,Smasha Ballz Ninjaaah,Smasha-Ballz,£15.84,6 NEW
